Level:[info] LogTime: [17.10.2023] Message:-[Hello distributed log files!]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
Level:[error] LogTime: [17.10.2023] Message:-[error in login: [object Object]]
